time,Аларский_tci,Аларский_utci,Ангарский_tci,Ангарский_utci,Балаганский_tci,Балаганский_utci,Баяндаевский_tci,Баяндаевский_utci,Бодайбинский_tci,Бодайбинский_utci,Боханский_tci,Боханский_utci,Братский_tci,Братский_utci,Жигаловский_tci,Жигаловский_utci,Заларинский_tci,Заларинский_utci,Зиминский_tci,Зиминский_utci,Иркутский_tci,Иркутский_utci,Казачинско-Ленский_tci,Казачинско-Ленский_utci,Катангский_tci,Катангский_utci,Качугский_tci,Качугский_utci,Киренский_tci,Киренский_utci,Куйтунский_tci,Куйтунский_utci,Мамско-Чуйский_tci,Мамско-Чуйский_utci,Нижнеилимский_tci,Нижнеилимский_utci,Нижнеудинский_tci,Нижнеудинский_utci,Нукутский_tci,Нукутский_utci,Ольхонский_tci,Ольхонский_utci,Осинский_tci,Осинский_utci,Слюдянский_tci,Слюдянский_utci,Тайшетский_tci,Тайшетский_utci,Тулунский_tci,Тулунский_utci,Усольский_tci,Усольский_utci,Усть-Илимский_tci,Усть-Илимский_utci,Усть-Кутский_tci,Усть-Кутский_utci,Усть-Удинский_tci,Усть-Удинский_utci,Черемховский_tci,Черемховский_utci,Чунский_tci,Чунский_utci,Шелеховский_tci,Шелеховский_utci,Эхирит-Булагатский_tci,Эхирит-Булагатский_utci,Иркутск_tci,Иркутск_utci,Братск_tci,Братск_utci,Зима_tci,Зима_utci,Саянск_tci,Саянск_utci,Свирск_tci,Свирск_utci,Тулун_tci,Тулун_utci,Усть-Илимск_tci,Усть-Илимск_utci,Черемхово_tci,Черемхово_utci,Усолье-Сибирское_tci,Усолье-Сибирское_utci
2004-01-31,79.10203392386435,-23.772268,80.3905057835579,,80.00761078467735,-25.412947,78.67670378753117,-23.684399,62.546817272696,-32.716236,80.06749404758213,-20.824106,81.0139314656753,-27.870098,75.22280461730956,-24.372925,78.41332198905944,-27.497965,79.56547707945109,-26.399656,82.57627168452298,-21.99559,74.6927736945276,-26.460192,63.827953602216006,-35.65921,76.44167578254427,-25.045248,73.20508284497484,-33.441345,80.24111013054848,-26.699219,67.60985545362745,-31.27587,78.3887269384066,-30.239616,77.28858527960523,-29.30356,78.70951099336148,-23.032017,81.0327595346624,-27.71154,78.73215680599212,-21.296825,82.39843691073929,-19.794817,81.95225372083725,-28.342478,80.27864430600945,-28.244211,80.39050052532781,-22.401571,76.91810916407903,-32.779976,75.83549706194135,-31.178877,78.54549794771233,-26.228964,80.17479750260061,-25.112785,81.50317050048284,-29.175734,81.25999944972992,-21.827587,80.33611892620722,-23.122435,82.21349377393722,-20.553102,80.6081506371498,-27.043486,79.05762477874755,,79.13157848119735,,79.09632394075393,,79.91297852277756,,77.79002551555632,-32.22365,78.9229964327812,,80.01210757493972,
2004-02-29,85.06497513651847,-15.172204,85.17124717712403,,85.1221624462421,-15.765764,85.54845341920851,-15.429131,69.64209124427416,-23.139246,85.17180023342371,-15.844977,84.87597679119605,-18.228796,84.03249851775169,-16.099646,85.13322419214249,-15.347301,85.23441181406379,-15.109563,84.46784442168696,-16.042141,81.3610157811487,-18.292156,71.12333826779665,-24.857353,84.5021125272342,-16.661547,80.91836188187109,-20.800104,85.22020518779755,-16.808975,75.52033739789327,-21.34076,84.4472910296652,-18.778688,83.22928831351653,-21.720484,85.04466073215008,-16.254944,85.28461327856236,-15.513105,85.21784070332845,-14.856252,83.72849168135569,-14.104277,81.9626581892275,-18.870283,85.05837379043753,-18.208652,85.4590572463549,-14.7627325,83.78900179717276,-19.031462,83.42009483193173,-19.514202,84.66758806982818,-15.775004,85.33006963771324,-14.953098,84.31480233782813,-18.751465,85.11397266197204,-15.655357,85.88770242631435,-16.739573,84.09618142604828,-15.020289,85.06042078971862,-18.737028,85.28056318759918,,85.20126975774765,,84.9153778553009,,85.23960158586502,,84.48325961351394,-18.342905,84.9320125222206,,85.21454976797104,
2004-03-31,80.40157078266144,-23.629992,87.7279324030876,,80.66072837994646,-27.116,80.43858829021453,-22.499216,69.34296475355994,-24.339493,80.22121089637278,-22.63971,81.76827977041145,-31.716488,76.97247003822328,-26.75656,79.40060728025435,-22.311047,82.44361836493015,-25.514263,84.44709612457838,-19.941067,75.14604151738155,-25.707623,70.85374334524755,-32.614506,76.9770685277326,-25.763834,76.69245098049394,-29.74335,82.63425491958856,-28.14524,72.73204491124834,-27.063934,79.3823276817004,-31.091911,76.79667907799991,-27.852352,79.35572917401791,-24.097914,78.92511658805789,-24.446987,79.2014769546191,-23.033707,81.08011712276019,-17.446648,83.74214508110475,-30.661823,82.30398709665647,-26.460361,83.83722999737812,-19.568745,78.30570059524642,-33.469128,78.1499844022739,-30.104565,79.5247991823177,-27.224863,79.09597849835518,-20.282463,82.45573456605274,-31.987991,85.4040187034607,-19.770132,81.02192847331365,-22.395605,87.47093023061753,-19.283457,81.21549747228622,-31.970642,82.40371877670287,,81.82496378183365,,79.2607131266594,,83.79451894521712,,78.65271642446517,-32.99777,78.90780446529388,,84.33634811878204,
2004-04-30,90.94383047819136,-0.7225733,90.20221375226971,,90.76360303988824,-1.8611205,92.03478100129534,-3.0883572,87.9845542576909,-5.6160703,91.46375428259373,-0.76958984,90.51843023730562,-5.80117,91.18870015001296,-4.3619976,89.7559793917338,-0.7107407,90.84127875491976,-1.8648056,90.85101535002391,-2.876595,88.85644712788718,-6.684044,90.12179017013392,-9.001308,91.55553873331208,-5.2890463,89.12505647574628,-6.317522,91.0072995364666,-2.3833454,87.55592437551135,-6.334028,90.63727653598784,-5.9857616,88.87145903783185,-3.2859752,91.0663990020752,-0.59053767,90.27954741738058,-5.8340073,91.18808909257253,0.48397812,88.55811510086059,0.46789974,90.4728482045666,-6.597016,90.19749512672423,-2.3939865,90.60328774525568,1.6030807,90.21212698615922,-7.4207234,90.54227610950116,-6.938769,90.72796688809686,-3.0426078,89.84601537797761,0.5751571,90.74163096098673,-8.521089,90.74460187673566,1.2260851,91.8063897579908,-2.4862516,90.60742692708968,0.8887634,90.04040473699568,-6.0520153,91.43360446691514,,91.40696086883544,,91.2060388803482,,91.19331537485122,,90.45371964216233,-6.3907514,91.1317438006401,,90.75155485630034,
2004-05-31,71.28054215868313,6.113046,71.48329162836075,,75.75028817360219,7.302513,77.18165173360279,0.99605924,85.84760899046371,2.7337503,73.44643283694984,4.973205,76.65280561183953,8.626666,79.21104119448661,3.7066038,72.59532642555237,6.986674,71.05537953287364,7.898724,76.55261759219347,0.16423486,82.81512946906027,3.2040594,86.93504872561807,4.4854484,80.62998121646474,1.5668706,83.51214964556915,2.910894,73.226660883526,8.609818,85.26879330019722,1.7158692,78.74345396015379,5.905375,76.73453330757363,9.224314,72.55246881425381,6.32989,84.84252631924369,-1.6299803,76.00348755041759,5.1269245,77.93188022375107,0.5658613,72.05898435892595,13.2943735,72.4016731782393,8.7935,71.80420228371254,5.9902854,80.743320760462,6.440949,80.9670702240202,2.9726954,76.53664801023444,6.4723616,72.0591618644673,5.7478075,74.55516570647556,12.136064,72.53098665142059,4.629063,75.646157579422,1.4706465,73.91924531698227,4.5570054,79.7308017516136,8.017517,72.66025903463364,,73.07339822292327,,70.21395961284638,,72.6738257908821,,80.00705790042876,6.149639,72.32957563638686,,72.1574800491333,
2004-06-30,86.20781984130542,16.482962,84.81780678987502,,86.00439827643908,17.178001,85.94785375833511,10.274957,68.69165801714206,14.285836,85.10446172893047,15.996955,85.26963319139048,17.631006,82.39800305595398,13.866079,81.49258789650597,15.471385,87.63736140042543,17.010733,78.7380961364287,11.232204,80.14397158238795,16.150906,83.2711114902627,16.919456,83.43786994372095,13.153458,81.40707419270667,15.464941,88.66986376971005,17.532568,73.75489244210152,14.376767,86.35968671353658,17.56975,75.18313815462803,15.338446,87.16966046273708,16.806648,72.81502946692886,8.713213,83.60903445270326,16.405367,71.34876648343526,12.236536,85.74349525178633,20.412676,84.30611306757638,16.924154,80.17861934350087,14.827262,84.63662903793653,18.506779,84.07357481806366,16.863487,85.06845400036596,16.507198,79.68815702713054,14.450691,86.59786774911578,20.170664,79.94005296468734,14.349185,84.42243928293387,12.851433,81.4397429203987,14.792172,78.660099568367,17.201239,90.45874752759931,,89.87626116514205,,85.13265637159347,,89.15277145385743,,85.0289524745941,19.051702,85.16934654474258,,85.02334987401963,
2004-07-31,84.87410876035692,29.568815,83.65780614137648,,87.23252900343674,28.095705,84.36347206660679,27.303005,73.06246948793016,17.168829,84.67458321198822,28.522156,85.6972364466686,22.58436,81.85579181981085,26.252085,79.33248777524628,28.207926,86.19635163202882,29.963028,79.93053925721733,24.33474,80.6235716943617,22.895008,81.07239420169019,18.330118,82.9291560001714,26.222464,81.15848118198251,21.16685,87.57817044297856,28.724527,76.53984787523177,19.62919,84.67645497290295,21.496548,74.29370694932128,25.191265,87.42702590346336,29.79287,78.0943287016045,19.874794,83.84246395270029,29.275303,72.81867569006404,22.28694,83.25891144985151,24.093758,82.63018987995207,27.910479,79.90200353906704,27.032654,82.62046756985451,21.343407,83.43769984610286,21.887014,85.74844140534495,26.18703,78.00056374145589,26.7428,84.53072833023371,22.193493,78.9844861009121,26.807673,83.67128360470136,27.53657,80.83158101081848,26.307474,84.86360882759094,21.91015,88.63600515127182,,88.19502863168718,,84.35792469263077,,87.32063345670699,,83.61104724168777,21.647024,84.70183809041977,,83.81406295180321,
2004-08-31,74.80932690382002,21.35466,73.8425493168831,,76.68481274604795,21.111294,74.26634987252099,21.050915,67.86276203494647,8.830671,74.12434881165623,21.185413,77.36043499872281,20.28626,74.92205720963479,18.70669,70.25618866070111,19.219147,74.39439348891376,20.932423,73.5611909435855,20.408361,72.63720572699201,15.80451,75.00515455146684,10.732604,73.01979807981424,18.51686,73.79611248224694,12.292787,76.2116818103194,21.291885,70.10247400812874,11.025168,77.83086902040905,17.647411,67.13790206179023,17.650997,76.05386086940764,22.13596,74.4463613967462,18.971827,73.81686150868734,21.182467,68.79222888864003,18.264948,77.6905190693563,20.399782,71.48282485651247,19.965614,71.50595517314397,19.125423,77.61097590231896,15.530868,75.8154291402852,15.989074,76.58419931148997,19.9911,70.72780623860979,18.312227,78.5460058675115,19.521973,71.02742501282691,19.690502,72.76917707930009,20.712042,73.35653362631797,20.596804,79.69108208179473,20.75474,75.82273052692413,,75.38125702619553,,74.81619503736496,,74.26880312681197,,77.77403201818466,15.260657,74.81187604427338,,73.78580506443977,
2004-09-30,71.74159361799558,3.2168653,69.74337405204773,,70.90507969819583,2.5822034,75.90184673854283,-1.2929012,77.19086143600529,10.472273,71.79428916454316,0.6398233,71.32634503463645,1.6940432,75.51689750409126,0.89370584,73.42522263097764,3.7956727,71.26028180137277,4.487878,69.7432942560867,-1.8520375,74.40103533295843,5.300058,78.19032501610012,7.519712,77.17057795803885,-0.79684746,73.32898996870094,7.9983835,71.46158433705568,3.5454295,74.40260421189807,9.678435,72.5267913854387,1.7504119,76.96822821540492,0.3892014,71.27134048402309,2.8872797,70.24871791341087,-1.9030093,72.90398739788267,1.4801048,70.87458718373225,-1.1760137,71.6282674939017,1.7853551,73.12583718812827,3.7045965,72.20359598471568,1.4529997,73.28831929177707,0.43606532,74.2075024404349,2.2006295,72.70580063333317,2.242641,73.24951684765192,3.0807514,71.61229093176976,1.321674,71.10306325531006,0.055016834,75.15549554248652,-1.1383877,68.53070404767989,-0.28740692,69.50484253644943,1.2296867,70.58696957826614,,70.75216056585312,,71.83064190149307,,71.8334652853012,,72.70267416238785,0.3241539,72.31734272480011,,69.74199196338652,
2004-10-31,84.96805261691411,1.1421623,85.03577354192734,,83.56491187609159,1.2741468,87.14619912590298,2.202413,81.9470392558698,-11.227545,85.25675720304251,1.0998849,83.4471614041576,-0.38786358,83.9463200032711,-1.0313716,85.68810420258839,-0.44990197,84.84424036517738,1.5718763,82.65954953184834,2.5161483,82.80162527734583,-4.2856445,84.11353192768358,-10.632374,85.88102225637437,-0.32917917,83.78373335403818,-7.386669,83.86599512765804,1.1592574,81.98606590484438,-7.4764967,84.28919505580267,-4.7402754,83.57149343124458,-1.4863845,83.8153346681595,1.9959663,82.91365884506341,2.7128232,84.35388625966176,2.4007926,82.28206544270881,3.2696745,83.16706622127563,2.1306903,84.4917980011304,1.227544,85.94345271734088,1.8404729,84.09063851364454,-5.0460005,84.03442486141935,-5.2832255,83.9240920180204,-0.6186903,85.86867236800813,-0.08140778,84.18575255420473,0.1531221,85.25001891946792,2.5212214,86.81649231811363,2.3409057,82.77459794282913,3.5517719,82.09365137577056,-0.5005557,83.41972712278366,,83.41408936977386,,85.3583663535118,,83.94105857610703,,83.56633982181548,-5.5841255,85.55602215528488,,84.80874190092086,
