time,Аларский,Ангарский,Балаганский,Баяндаевский,Бодайбинский,Боханский,Братский,Жигаловский,Заларинский,Зиминский,Иркутский,Казачинско-Ленский,Катангский,Качугский,Киренский,Куйтунский,Мамско-Чуйский,Нижнеилимский,Нижнеудинский,Нукутский,Ольхонский,Осинский,Слюдянский,Тайшетский,Тулунский,Усольский,Усть-Илимский,Усть-Кутский,Усть-Удинский,Черемховский,Чунский,Шелеховский,Эхирит-Булагатский,Иркутск,Братск,Зима,Саянск,Свирск,Тулун,Усть-Илимск,Черемхово,Усолье-Сибирское
2004-01-31,79.10203392386435,80.3905057835579,80.00761078467735,78.67670378753117,62.546817272695996,80.06749404758213,81.0139314656753,75.22280461730956,78.41332198905944,79.56547707945109,82.57627168452298,74.6927736945276,63.827953602216006,76.44167578254427,73.20508284497484,80.24111013054848,67.60985545362745,78.3887269384066,77.28858527960523,78.70951099336148,81.0327595346624,78.73215680599212,82.39843691073929,81.95225372083725,80.27864430600945,80.39050052532781,76.91810916407903,75.83549706194135,78.54549794771233,80.17479750260061,81.50317050048284,81.25999944972992,80.33611892620722,82.21349377393722,80.6081506371498,79.05762477874755,79.13157848119735,79.09632394075393,79.91297852277756,77.79002551555632,78.9229964327812,80.01210757493972
2004-02-29,85.06497513651847,85.17124717712403,85.1221624462421,85.54845341920851,69.64209124427416,85.17180023342371,84.87597679119605,84.03249851775169,85.13322419214249,85.23441181406379,84.46784442168696,81.3610157811487,71.12333826779665,84.5021125272342,80.91836188187109,85.22020518779755,75.52033739789327,84.4472910296652,83.22928831351653,85.04466073215008,85.28461327856236,85.21784070332845,83.72849168135569,81.9626581892275,85.05837379043753,85.4590572463549,83.78900179717276,83.42009483193173,84.66758806982818,85.33006963771324,84.31480233782813,85.11397266197204,85.88770242631435,84.09618142604828,85.06042078971862,85.28056318759918,85.20126975774765,84.9153778553009,85.23960158586502,84.48325961351394,84.9320125222206,85.21454976797104
2004-03-31,80.40157078266144,87.7279324030876,80.66072837994646,80.43858829021453,69.34296475355994,80.22121089637278,81.76827977041145,76.97247003822328,79.40060728025435,82.44361836493015,84.44709612457838,75.14604151738155,70.85374334524755,76.9770685277326,76.69245098049394,82.63425491958856,72.73204491124834,79.3823276817004,76.79667907799991,79.35572917401791,78.92511658805789,79.2014769546191,81.08011712276019,83.74214508110475,82.30398709665647,83.83722999737812,78.30570059524642,78.1499844022739,79.5247991823177,79.09597849835518,82.45573456605274,85.4040187034607,81.02192847331365,87.47093023061753,81.21549747228622,82.40371877670287,81.82496378183365,79.2607131266594,83.79451894521712,78.65271642446517,78.90780446529388,84.33634811878204
2004-04-30,90.94383047819137,90.20221375226973,90.76360303988824,92.03478100129534,87.9845542576909,91.46375428259371,90.51843023730562,91.18870015001296,89.7559793917338,90.84127875491977,90.85101535002391,88.85644712788718,90.12179017013392,91.55553873331208,89.12505647574628,91.0072995364666,87.55592437551135,90.63727653598785,88.87145903783185,91.0663990020752,90.27954741738058,91.18808909257251,88.55811510086059,90.47284820456659,90.19749512672425,90.60328774525568,90.21212698615922,90.54227610950115,90.72796688809686,89.84601537797761,90.74163096098671,90.74460187673566,91.80638975799081,90.60742692708969,90.04040473699568,91.43360446691514,91.40696086883544,91.2060388803482,91.19331537485122,90.45371964216233,91.1317438006401,90.75155485630034
2004-05-31,71.28054215868313,71.48329162836075,75.75028817360219,77.18165173360279,85.84760899046371,73.44643283694984,76.65280561183953,79.21104119448661,72.59532642555237,71.05537953287364,76.55261759219347,82.81512946906027,86.93504872561807,80.62998121646474,83.51214964556915,73.226660883526,85.26879330019722,78.74345396015379,76.73453330757363,72.55246881425381,84.84252631924369,76.00348755041759,77.93188022375107,72.05898435892595,72.4016731782393,71.80420228371254,80.743320760462,80.9670702240202,76.53664801023444,72.0591618644673,74.55516570647556,72.53098665142059,75.646157579422,73.91924531698227,79.7308017516136,72.66025903463364,73.07339822292327,70.21395961284638,72.6738257908821,80.00705790042876,72.32957563638686,72.1574800491333
2004-06-30,86.20781984130542,84.81780678987502,86.00439827643908,85.94785375833511,68.69165801714206,85.10446172893047,85.26963319139048,82.39800305595398,81.49258789650597,87.63736140042543,78.7380961364287,80.14397158238795,83.2711114902627,83.43786994372095,81.40707419270667,88.66986376971005,73.75489244210152,86.35968671353658,75.18313815462803,87.16966046273708,72.81502946692886,83.60903445270326,71.34876648343526,85.74349525178633,84.30611306757638,80.17861934350087,84.63662903793653,84.07357481806366,85.06845400036596,79.68815702713054,86.59786774911578,79.94005296468734,84.42243928293387,81.4397429203987,78.660099568367,90.45874752759933,89.87626116514205,85.13265637159347,89.15277145385743,85.0289524745941,85.16934654474258,85.02334987401963
2004-07-31,84.87410876035692,83.65780614137648,87.23252900343674,84.36347206660679,73.06246948793016,84.67458321198822,85.6972364466686,81.85579181981085,79.33248777524628,86.19635163202882,79.93053925721733,80.6235716943617,81.07239420169019,82.9291560001714,81.15848118198251,87.57817044297856,76.53984787523177,84.67645497290295,74.29370694932128,87.42702590346336,78.0943287016045,83.84246395270029,72.81867569006404,83.25891144985151,82.63018987995207,79.90200353906704,82.62046756985451,83.43769984610286,85.74844140534495,78.00056374145589,84.53072833023371,78.9844861009121,83.67128360470136,80.83158101081848,84.86360882759094,88.63600515127182,88.19502863168718,84.35792469263077,87.32063345670699,83.61104724168777,84.70183809041977,83.81406295180321
2004-08-31,74.80932690382002,73.8425493168831,76.68481274604795,74.26634987252099,67.86276203494647,74.12434881165623,77.36043499872281,74.92205720963479,70.25618866070111,74.39439348891376,73.5611909435855,72.63720572699201,75.00515455146684,73.01979807981424,73.79611248224694,76.2116818103194,70.10247400812874,77.83086902040905,67.13790206179023,76.05386086940764,74.4463613967462,73.81686150868734,68.79222888864003,77.6905190693563,71.48282485651247,71.50595517314397,77.61097590231896,75.8154291402852,76.58419931148997,70.72780623860979,78.5460058675115,71.02742501282691,72.76917707930009,73.35653362631797,79.69108208179473,75.82273052692413,75.38125702619553,74.81619503736496,74.26880312681197,77.77403201818466,74.81187604427338,73.78580506443977
2004-09-30,71.74159361799558,69.74337405204773,70.90507969819583,75.90184673854283,77.19086143600529,71.79428916454316,71.32634503463645,75.51689750409126,73.42522263097764,71.26028180137277,69.7432942560867,74.40103533295843,78.19032501610012,77.17057795803885,73.32898996870094,71.46158433705568,74.40260421189807,72.5267913854387,76.96822821540492,71.27134048402309,70.24871791341087,72.90398739788267,70.87458718373225,71.6282674939017,73.12583718812827,72.20359598471568,73.28831929177707,74.2075024404349,72.70580063333317,73.24951684765192,71.61229093176976,71.10306325531006,75.15549554248652,68.53070404767989,69.50484253644943,70.58696957826614,70.75216056585312,71.83064190149307,71.8334652853012,72.70267416238785,72.31734272480011,69.74199196338652
2004-10-31,84.96805261691411,85.03577354192734,83.56491187609159,87.14619912590298,81.9470392558698,85.25675720304251,83.4471614041576,83.9463200032711,85.68810420258839,84.84424036517738,82.65954953184834,82.80162527734583,84.11353192768358,85.88102225637437,83.78373335403818,83.86599512765804,81.98606590484438,84.28919505580267,83.57149343124458,83.8153346681595,82.91365884506341,84.35388625966176,82.28206544270881,83.16706622127563,84.4917980011304,85.94345271734088,84.09063851364454,84.03442486141935,83.9240920180204,85.86867236800813,84.18575255420473,85.25001891946792,86.81649231811363,82.77459794282913,82.09365137577056,83.41972712278366,83.41408936977386,85.3583663535118,83.94105857610703,83.56633982181548,85.55602215528488,84.80874190092086
